Date,Open,High,Low,Close,Adj Close,Volume
28-02-2019,174.320007,174.910004,172.919998,173.149994,173.149994,28215400
01-03-2019,174.279999,175.149994,172.889999,174.970001,174.970001,25886200
04-03-2019,175.690002,177.75,173.970001,175.850006,175.850006,27436200
05-03-2019,175.940002,176,174.539993,175.529999,175.529999,19737400
06-03-2019,174.669998,175.490005,173.940002,174.520004,174.520004,20810400
07-03-2019,173.869995,174.440002,172.020004,172.5,172.5,24796400
08-03-2019,170.320007,173.070007,169.5,172.910004,172.910004,23999400
11-03-2019,175.490005,179.119995,175.350006,178.899994,178.899994,32011000
12-03-2019,180,182.669998,179.369995,180.910004,180.910004,32467600
13-03-2019,182.25,183.300003,180.919998,181.710007,181.710007,31032500
14-03-2019,183.899994,184.100006,182.559998,183.729996,183.729996,23579500
